	WT_1_1_Aligned	WT_2_1_Aligned	WT_3_1_Aligned	pho85_1_1_Aligned	pho85_2_1_Aligned	pho85_3_1_Aligned	rpo41_1_1_Aligned	rpo41_2_1_Aligned	rpo41_3_1_Aligned	rpopho_1_1_Aligned	rpopho_2_1_Aligned	rpopho_3_1_Aligned	WT_Pi_1_1_Aligned	WT_Pi_2_1_Aligned	WT_Pi_3_1_Aligned	WT_noPi_1_1_Aligned	WT_noPi_2_1_Aligned	WT_noPi_3_1_Aligned	WT_SD_1_1_Aligned	WT_SD_2_1_Aligned	WT_SD_3_1_Aligned	WT_noURA_1_1_Aligned	WT_noURA_2_1_Aligned	WT_noURA_3_1_Aligned	Pro_wN_1_1_Aligned	Pro_wN_2_1_Aligned	Pro_wN_3_1_Aligned	Pro_noN_1_1_Aligned	Pro_noN_2_1_Aligned	Pro_noN_3_1_Aligned	ba_1_1_Aligned	ba_2_1_Aligned	ba_3_1_Aligned	ba_aF_1_1_Aligned	ba_aF_2_1_Aligned	ba_aF_3_1_Aligned
YOR114W	18.17392416852272	15.536323363708943	19.11218796065277	16.50662719541331	12.418847235673084	17.85211136284108	18.36841877434654	16.716818839028715	17.220700987208968	20.865812709694463	14.232394415295687	13.80303958969863	17.121859442097392	20.987174390685666	18.14992021735537	41.139528452922725	41.49675653754283	38.04373881828504	20.68640438278967	21.488763775201708	16.23660064563639	14.209204923391296	19.747132454013197	17.120737766731377	24.249899565596728	21.186453646188003	26.33603428921689	32.821550549613974	27.171680150045212	30.543208982981362	23.581666521922536	18.852330071769018	22.235728802829655	9.377710036215953	8.686649637162134	7.814448438396432
YOR115C	79.27854266576486	79.61848862043588	88.97053016165943	88.43281615160136	84.46915902601738	93.60635759192017	73.76530071081099	68.01396623515566	77.66913917732006	105.93485624695892	98.32292991042064	100.59555845013098	89.79929295866313	85.22326924953967	107.41475060310113	130.7199750234421	115.74508538364219	99.22503942430639	82.63088098853086	87.5526739019076	85.05753548229912	98.63556036877713	102.286882122953	92.42917600055905	83.51968643055864	84.66012996476567	93.40307757269987	98.37451626808267	98.21272591862694	95.2964062787844	84.43157912112835	84.36614072141971	88.08396236685981	100.22899646014042	107.97482853669278	113.57743129025147
YOR116C	41.45732680948899	51.802002549873215	38.92098813918226	34.47523636803583	35.32977834998275	37.42779441628968	39.786790064925086	40.47676439703907	33.60885719192996	24.695130990127026	35.70354563481764	28.35428600269674	46.532289843937605	41.85332222539486	11.237087484422096	35.91026579388439	44.62710802399196	48.066745983025875	56.86809869584048	43.36261976380641	46.39769515858141	17.277028088328198	18.536242301503155	18.083203667399207	50.554479532178895	49.99719323568506	51.32854366994076	45.11250996732382	40.15473181249639	43.59934961156009	57.88227237199168	43.97717051813216	58.747827829434684	44.370464182477384	42.30868617779731	29.561482731270907
YOR117W	216.4626448097076	219.3142014780221	205.17176389742056	164.05977029587618	177.6155576137386	209.24256882613355	182.30310362509348	186.79054955133753	169.69812587557198	204.62443460064065	195.65003929955265	203.5948339480548	183.57380037084803	178.31584923828396	54.552447612277454	321.71921881288097	317.91151020840414	308.9383240103124	190.27067132833284	169.71027724139927	169.58568697050683	252.27459991835357	239.07195024325313	259.25688618193226	180.88152075750017	177.37662475143554	182.95213603349663	164.36377108309026	178.56438133968808	187.1632730912016	165.53104876752118	159.06885349812188	157.89865846503758	237.4719475049045	228.1182488608541	226.8905492538269
YOR118W	54.220249766054856	58.10654735681627	49.089084605722505	49.194284363056816	44.753561070081986	50.853920952480614	44.52332324980321	50.029612043551	42.00113630314867	43.43488646571471	48.36503222667715	44.23327768686771	56.24926492846853	51.461635453481335	33.783468637905145	41.602555966575	42.51547390520966	42.46952632845094	58.32670393672013	53.818866203489186	54.71253784144569	43.85462501202316	41.483253188936644	45.5526768560614	53.499558175398	53.49565968083872	57.05492086452344	50.94147955255105	51.256824142728554	52.03191562002501	59.45137011701555	57.272188637824634	60.49430645058449	54.82624810905629	56.831634361024356	51.957430495443546
YOR119C	50.234064290430304	56.40922523500783	48.036338490765324	46.59580436303035	40.65361343008873	43.67147362159611	43.276140558229564	40.806385609421504	35.642129134491384	35.04649280746998	47.76999127893319	43.06939004049832	62.647972792409774	54.755005910764666	31.18299037903795	38.461091359141776	44.195900085913294	45.43361446872829	72.11072681060486	64.68912378168058	66.57807646349683	48.774053020568246	53.5184548244237	52.91710992924816	54.03736289208967	59.06861524398863	54.36785174580324	56.104244379138066	48.724099316396824	54.7548441077727	63.57038876074873	55.913194755192066	60.83831162376925	43.614635068087665	43.38649845685291	41.31127493870525
YOR120W	36.121719194483916	31.76411825866453	34.21943467756132	45.55325131003032	44.48358784766538	35.42065403603805	42.04357875460993	38.316391957658624	39.23064292396556	35.88269752168762	41.65361450070078	43.47319097906624	28.58986038608858	25.247958889500374	16.88586405291921	118.61444295491546	93.93840326154418	96.85471966044464	24.872152232260003	23.954466885690366	18.954562262123282	129.14295015821932	146.98685699439002	138.18657966816966	50.03649265585955	40.22929090478527	37.01122933060349	39.038191444296125	32.7668548911232	37.83495198327282	21.18532810737465	24.16088796581135	27.27386216588289	47.56965133158164	47.16610424156572	39.02475988327131
YOR122C	935.4061134429427	872.3063143455475	970.3774943440737	890.8990092810433	884.8969719331529	853.1408937513728	950.6321626309708	925.2211733335613	889.7663969134856	906.8741467184461	950.8979674848209	1047.6791203482358	865.8495760965006	862.3046850044663	614.4402062427797	1444.8139769080694	1398.3032220665268	1301.8262942981457	826.8281874149513	869.5649387370486	825.3296207187911	958.4314303176541	1027.2510041789337	1017.1345166610822	774.4966801211693	762.4210003011742	859.6217015198256	831.833756049131	839.3683320310463	787.2018973457895	628.869404635438	648.8265924299616	639.886255414613	964.7254317678573	962.8761991644187	997.3866539855348
YOR123C	113.31761838770642	119.5058699415477	114.27106963070742	92.22339130390166	92.00049539964093	113.72400413151765	101.89535778658363	101.9548110682464	90.44993886913734	98.38889495120605	102.38320583609602	91.75455192301187	127.98843744975574	124.62899889050664	70.26307459328258	139.88310867236163	133.08370287736201	129.78594295324083	132.57928101912208	120.44739933261911	113.77431280581953	179.21490579239637	186.08101047995544	186.17375140099742	117.90241619800841	119.98303988855226	117.24352328714608	115.15922597161831	125.77110048133883	129.97965278563822	122.76891546984938	102.14717526797479	110.94475157634658	113.1911460242742	116.00547370833202	112.53210179329652
YOR124C	34.052692408626434	30.823510515962894	29.766127010940565	19.744307978740324	21.582718908999507	30.243913096175007	25.775412730153793	24.865016764160078	23.16210719539616	29.38929602871389	25.424501625377843	21.83808530466007	27.578051434020246	24.631953708359802	14.115229646716017	35.94969118136177	37.62284159987253	33.69486929301824	24.2491769971172	22.294156119172758	21.658351676154737	40.03136171187257	39.191554374599605	41.80954855109198	23.877693940444914	24.46874790453488	27.855011057451012	22.68291787402208	26.251711496329108	26.524365695746972	24.839697724507406	26.337471070720014	26.673000661081204	39.336380097754706	39.71359011066046	34.9715221626084
