Gene Symbol	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3	mpc1_1	mpc1_2	mpc1_3	WT_starv_1	WT_starv_2
RFA1	9.40681	8.64148	9.44153	9.94805	8.10988	9.78879	8.9944	9.07942	8.64451	8.7398	9.20532
											
SEN34	8.9343	9.13055	9.19489	10.8068	11.5864	11.4406	10.7209	9.24289	9.01487	4.8935	5.03435
											
YAR010C	10.5015	14.1842	9.34639	12.3681	11.1996	11.4557	7.02473	6.39239	7.11978	5.35193	5.05567
											
BUD14	10.3327	9.40198	9.93939	9.21183	11.218	9.11048	9.74609	9.18579	9.77297	5.9636	6.11717
											
ADE1	6.66213	6.20179	6.34327	7.48031	8.66398	7.88573	9.88059	10.5194	10.2753	13.4069	12.6806
											
KIN3	8.64521	7.66338	8.87685	7.86728	8.29095	7.66651	10.227	10.1066	10.4769	7.75032	12.4289
											
CDC15	9.68174	8.84845	9.06538	9.07471	9.72917	8.69943	9.00206	9.71731	9.04927	9.43883	7.69365
											
UIP3	11.8281	10.3916	12.5778	9.78381	11.9658	10.3936	8.49013	9.06397	8.30267	3.40212	3.80036
											
PRM9	8.15297	8.47353	9.61704	10.513	11.2788	10.5464	6.76946	8.11127	7.2668	9.58979	9.68095
											
MST28	8.50487	7.90123	8.9301	13.7119	14.8082	13.8008	6.14027	7.20375	6.04889	7.19167	5.75826
											
YAT1	2.97049	3.57545	2.58538	3.56482	4.63278	4.51797	5.75977	6.66381	6.85031	29.9665	28.9127
											
SWH1	8.21769	7.81555	8.46614	8.62573	9.78459	8.91391	9.0398	9.24153	8.40323	10.4211	11.0708
											
HTB2	9.34085	15.8236	7.22092	10.3997	7.52937	8.3332	8.34989	6.79123	9.13132	8.97252	8.10739
											
HTA2	6.7901	18.1252	6.12154	10.4921	9.23505	8.50087	7.28389	7.14554	8.09996	9.6318	8.57403
											
UTP20	9.21499	8.54107	9.68035	9.76243	10.1261	9.59592	9.29557	8.88726	9.05787	7.87073	7.9677
											
PDR3	6.39982	6.02385	6.63519	15.3262	17.6389	15.8575	7.2887	7.30646	6.55747	5.79536	5.17049
											
YBL005W-A	6.84717	5.68651	5.28087	9.99374	9.29379	11.0056	13.2615	10.62	13.7525	7.11645	7.1418
											
LDB7	9.12509	8.31946	8.92967	8.44754	11.0505	9.17632	8.8794	8.26559	9.13355	9.5653	9.10759
											
SLA1	10.4076	8.95948	9.97099	8.19778	8.86143	8.39945	9.27742	9.00809	9.70586	8.39405	8.81784
											
HIR1	9.20284	8.59649	8.96409	8.5975	9.94524	10.4887	9.29032	8.58359	9.42933	8.5933	8.30861
											
ALK2	10.1081	9.70645	9.84548	9.11897	8.2849	9.45211	9.6967	10.9092	9.54108	6.15024	7.18675
											
YBL010C	9.73753	9.76854	9.64395	8.15024	8.58956	8.35676	8.95545	9.69912	9.08466	8.68715	9.32704
											
SCT1	8.43845	8.27939	9.40293	10.7837	8.85769	10.8396	8.76197	9.27978	9.46278	7.93883	7.95484
											
FMT1	8.00235	10.5002	10.6307	8.01253	5.23456	8.18601	8.95102	10.6077	10.2098	9.78354	9.88163
											
RRN6	9.55002	9.62627	7.01651	10.7264	10.6884	8.92516	9.90632	11.5056	8.71797	7.88338	5.45395
											
ACH1	9.69145	10.3201	10.3526	1.47528	1.77062	1.29166	12.8634	12.6008	12.7538	13.8931	12.9872
											
FUS3	13.3768	11.7398	12.52	8.17743	7.32754	8.48144	10.7767	9.45629	9.29043	4.81255	4.04102
											
PEP1	8.02349	8.38039	8.80736	10.2459	7.35828	9.90653	9.14659	10.0412	10.1446	9.16242	8.78331
											
POP8	9.86278	7.01651	8.07999	9.9062	12.3543	11.031	10.1031	8.09779	9.98362	6.36679	7.19795
											
APN2	9.6618	8.89584	9.23849	7.65367	8.70472	8.94688	10.1146	10.0777	10.2992	8.1322	8.27499
											
RFT1	9.6764	10.1427	10.7491	8.28101	8.65263	7.71589	9.40386	9.8062	8.93035	8.33939	8.30256
											
HAP3	12.2485	9.68148	8.63673	7.73876	9.23196	9.22714	11.8663	9.00947	9.13823	6.01138	7.21006
											
PIM1	10.3415	9.44433	10.2991	8.58905	9.22419	8.5804	9.10525	8.57277	8.76246	8.52448	8.55656
											
MCM2	8.97791	8.52302	8.83795	9.25595	9.3725	9.84908	9.54834	9.14382	9.32681	8.57768	8.58693
											
NCL1	8.94594	8.35854	9.17077	8.42847	8.61438	8.77372	9.21918	9.4659	9.53947	9.62812	9.85551
											
RRN10	10.3214	9.51713	8.4381	9.64329	7.32916	10.196	9.87361	8.47457	9.30927	8.12027	8.77721
											
LSM2	8.98131	8.25693	9.74539	8.99893	9.24987	9.46181	9.7031	9.25791	8.83693	8.36934	9.13849
											
RPL19B	9.04076	15.3276	8.75064	8.73326	8.15105	7.48662	8.21208	8.40322	8.45626	9.42332	8.0152
											
YBL028C	11.2413	10.6075	11.7033	9.18276	12.1208	8.77879	9.42088	8.79174	9.70527	4.67333	3.77444
											
YBL029C-A	9.15484	8.07469	10.2405	4.24654	6.20337	4.93452	8.73893	8.45345	9.21537	14.6585	16.0793
											
PET9	11.5562	17.7576	11.4356	4.72508	3.74356	3.96473	9.15278	9.31138	9.12505	9.82048	9.40757
											
SHE1	8.75364	9.22713	9.07155	9.6033	9.57947	12.339	8.69726	9.97547	8.87216	7.38369	6.49738
											
HEK2	9.87986	9.27264	9.84121	8.48307	10.1852	8.40202	8.7681	8.84972	8.99382	8.96293	8.36144
											
RIB1	10.6732	9.09076	10.1504	8.94362	10.3981	9.53715	12.063	11.676	12.014	2.79246	2.66134
											
STU1	9.23635	8.81292	9.406	9.5752	10.0939	9.71009	9.33549	9.33724	9.60433	7.57922	7.30926
											
POL12	10.123	8.87138	9.40715	10.1616	11.3966	10.5002	9.64386	9.38256	9.93756	5.55082	5.02531
											
YBL036C	8.68038	8.38895	9.02155	9.92136	9.9002	9.50412	8.38171	9.17056	8.27594	9.41272	9.34253
											
APL3	9.06377	9.04775	9.3751	9.92398	9.96716	10.0525	9.39605	9.42933	9.16576	7.42416	7.15445
											
MRPL16	10.9585	10.5919	11.218	4.91472	5.60925	4.66261	10.0189	10.885	11.156	10.4459	9.53924
											
URA7	10.3385	10.2095	9.28237	9.23773	8.73678	9.41199	8.60918	8.39768	8.59794	8.96278	8.21561
											
ERD2	9.40476	9.46535	8.40574	12.1892	8.27776	9.35699	8.78376	8.43319	8.38356	8.28949	9.01021
											
PRE7	11.646	8.31966	9.67407	8.90455	8.37387	9.95183	9.15445	7.51751	9.33991	8.40357	8.71458
											
FUI1	10.4827	11.7003	7.98874	10.5037	11.7288	10.333	12.1506	10.7874	10.7367	2.00965	1.57846
											
COR1	10.2889	15.2515	10.5203	4.31407	4.13518	3.57021	10.3755	10.2026	9.94364	10.7289	10.6693
											
PSY4	9.10109	9.03079	9.21532	10.218	11.3877	10.5412	9.76807	9.48077	9.67816	5.75414	5.82477
											
EDE1	9.67665	8.39403	9.07738	8.94834	10.3946	9.59335	8.78366	8.69893	8.65	8.92138	8.86172
											
MOH1	2.07052	2.78353	4.27803	12.9776	13.7473	16.7443	5.2524	4.24843	4.05408	16.5003	17.3435
											
SEC17	9.19634	7.81436	8.45291	8.19554	8.50702	8.46801	9.9859	10.2437	10.271	9.36055	9.50461
											
PIN4	8.83847	7.09981	7.38205	8.15457	9.1853	9.9941	10.7937	9.22502	11.0334	9.17774	9.11586
											
SAS3	7.9207	8.66931	8.51045	10.0894	9.91092	10.6029	8.52392	9.09011	8.78215	9.06596	8.83416
											
TOD6	11.5124	9.0164	9.72148	10.3328	13.4793	10.8501	9.19707	7.55033	9.26422	4.3849	4.69098
											
YBL055C	8.34959	8.74746	9.24961	9.31907	7.89801	9.00879	9.34228	9.51123	9.36215	9.21437	9.99743
											
PTC3	7.92275	8.94609	9.24576	9.011	5.84837	9.64017	9.45646	10.0967	10.452	9.94736	9.43337
											
PTH2	8.70582	8.29371	8.72867	8.54866	9.07407	8.74251	9.69264	9.63432	10.2919	9.05317	9.23451
											
SHP1	9.49331	8.34574	10.2674	8.00606	8.2097	7.8103	9.26264	8.60049	9.25639	9.52338	11.2246
											
CMC2	11.4829	10.8047	11.6773	5.3372	6.16741	5.15353	11.2099	11.361	11.3511	7.60214	7.85283
											
YBL059W	11.2384	10.054	10.4191	5.38617	5.75661	5.45478	10.6769	11.537	10.9555	9.90058	8.62097
											
YEL1	7.89799	7.37832	8.81017	9.94507	10.7804	11.0374	8.30037	9.20108	9.4869	8.75763	8.40469
											
SKT5	10.8439	9.42316	10.1294	9.32415	10.2004	9.33196	9.92585	9.4401	9.33481	6.24837	5.7979
											
KIP1	10.0976	9.14544	9.71821	8.82523	11.1605	10.2027	9.63189	9.44337	9.66967	5.96634	6.13911
											
PRX1	9.13394	11.7826	9.1414	5.89829	6.30821	5.66593	10.2995	9.83181	9.85044	11.0281	11.0597
											
SEF1	10.5126	9.60122	9.93548	5.25558	5.81596	5.4644	11.1394	10.8851	11.0732	10.0135	10.3037
											
UBP13	8.68091	8.35827	8.93566	12.0606	11.9715	12.2039	7.9854	8.61807	8.22272	6.53312	6.42983
											
PRS4	9.66915	9.28209	10.2567	8.64682	9.31982	8.30582	9.7704	9.36643	9.17713	7.80892	8.39674
											
AST1	9.89088	9.3351	10.3676	8.49066	9.15031	8.30143	9.6298	9.67965	9.41564	7.90609	7.83282
											
KTI11	11.4184	11.0917	12.0898	12.4117	8.56585	12.9821	10.6105	8.98998	9.32387	1.244	1.27207
											
RPS8A	9.70144	11.0306	10.5576	8.2393	5.84043	8.66058	9.11701	9.25691	9.84889	9.85401	7.89328
											
AAR2	8.72475	7.87042	9.25727	8.17942	10.1304	8.68878	8.75812	9.03485	9.26516	9.69552	10.3953
											
SSA3	1.32457	1.47776	1.57259	1.79666	1.94488	2.00702	0.93118	2.51901	2.49414	44.8975	39.0347
											
ILS1	8.87233	7.68375	8.01162	8.18264	8.59102	8.41594	10.2975	10.1657	10.0085	10.0691	9.702
											
ATG8	6.10972	7.10575	8.14164	8.23621	5.69229	8.32175	5.7095	6.63462	6.37293	18.1889	19.4867
											
NUP170	8.90025	8.35263	8.99668	9.60581	9.45137	9.59577	9.03667	9.02185	8.70865	9.161	9.16933
											
PET112	10.8936	10.0191	10.434	5.04289	5.95191	5.43033	10.429	10.2835	9.78408	11.1432	10.5884
											
YBL081W	13.4545	10.6778	12.1517	6.84933	10.5759	8.68204	11.4041	10.3153	12.5082	2.10203	1.27913
											
ALG3	9.31005	8.45191	9.48368	10.7626	11.3658	12.0971	8.34066	7.99551	7.70207	7.1006	7.39005
											
CDC27	8.63638	7.22418	8.54277	7.88058	9.53305	8.5426	9.90238	9.78245	9.52915	9.72375	10.7027
											
BOI1	9.99347	8.84458	9.6679	9.01491	10.1594	9.51934	9.1385	9.09251	9.3408	7.5324	7.69615
											
YBL086C	7.50467	8.58975	9.46606	10.8298	6.39532	9.25582	8.4528	9.98604	8.71191	10.5802	10.2276
											
RPL23A	9.76368	9.28455	9.62732	8.16483	7.18375	8.76983	9.1071	8.88405	10.3596	9.6763	9.17895
											
TEL1	6.01954	8.61651	10.4013	13.389	2.78739	12.4658	7.70514	11.4559	10.4562	8.28045	8.42277
											
MRP21	18.4668	8.68039	8.65908	7.1075	5.71094	6.7146	9.66229	7.70871	8.97456	9.98493	8.33017
											
MAP2	9.60752	8.12351	9.05674	8.57135	9.43286	8.8805	9.18498	9.11302	9.29534	9.53979	9.19438
											
SCS22	8.18543	7.1311	8.43581	11.725	12.8779	12.0115	8.69949	8.87185	8.15596	7.32165	6.58432
											
RPL32	10.0381	11.8014	8.90101	7.82955	8.34654	7.5267	9.66209	9.72845	9.0965	9.0309	8.03875
											
YBL095W	10.5846	12.631	15.1388	4.58364	4.98817	4.75687	8.15959	9.0941	9.04807	10.656	10.3592
											
BRN1	9.77956	8.77709	9.60702	9.14448	10.3564	9.65373	9.3052	8.87973	9.54818	7.22647	7.72212
											
BNA4	7.99037	9.81773	9.5352	5.8694	4.7831	5.8941	10.4678	12.1922	9.82266	12.1932	11.4342
											
ATP1	11.5527	13.1936	10.3478	4.34212	4.40913	4.14036	11.2254	10.5365	10.534	10.0145	9.70391
											
ECM21	8.04794	6.96716	7.47034	8.88928	9.1061	9.55399	8.16658	8.33646	8.37301	12.6636	12.4256
											
SFT2	9.03074	8.53235	8.06957	9.11286	9.68656	8.67239	9.11211	9.78944	9.09223	9.59801	9.30373
											
RTG3	7.28086	6.96328	7.95627	8.14332	9.62347	8.92839	10.4705	11.1303	11.1143	9.15848	9.23084
											
SEA4	7.64724	7.58633	8.20178	9.66511	9.62727	10.1096	9.13966	9.23619	9.17377	9.73023	9.88282
											
PKC1	8.08151	8.0725	8.53817	9.25024	8.96573	9.70805	9.39058	9.73187	9.6282	9.32927	9.30389
											
SRO77	9.585	8.48489	8.65658	15.7407	17.9391	17.1796	6.23206	5.84189	6.85076	1.89894	1.59043
											
YBL107C	7.2624	9.13325	10.3205	9.52502	4.20098	10.0714	9.23452	9.89299	10.1193	9.43108	10.8086
											
NTH2	9.89815	9.4272	9.74844	10.102	12.9177	10.8782	9.29208	9.4672	8.91567	4.73219	4.62113
											
RER2	8.89941	8.0025	8.58254	9.95057	10.1575	9.66831	10.1351	9.76493	9.25577	7.91962	7.66382
											
COQ1	9.94861	10.1986	10.6126	5.97119	6.72959	6.25228	10.3787	11.183	10.5457	9.4389	8.74083
											
RCR1	12.6595	10.628	12.1627	8.50512	10.7487	10.4056	9.71146	8.48913	8.85049	3.84337	3.99593
											
UGA2	6.9735	7.02637	6.81197	11.9763	11.3958	13.252	7.25161	7.40587	7.31453	10.8244	9.76764
											
DSF2	9.81261	8.91865	9.70348	9.2274	11.358	10.6108	9.47524	9.67526	9.75853	5.77664	5.68337
											
HHF1	8.36337	12.6184	7.01085	10.11	8.67764	9.11364	9.1819	7.45561	9.63361	9.67357	8.16143
											
HHT1	8.00896	12.4139	8.03447	10.2934	10.5833	8.47181	8.78945	8.18101	8.80752	8.29467	8.12149
											
IPP1	7.18629	15.6662	7.15362	10.6477	9.17196	8.42666	7.67059	7.81096	8.05112	9.4344	8.7805
											
GRX7	11.6234	10.8099	11.8571	9.50274	9.09055	10.2267	9.2945	9.79541	8.54275	4.66593	4.59097
											
MNN2	9.36147	9.43899	10.12	10.8847	8.78893	11.1066	8.57784	9.50292	8.64836	6.87811	6.6921
											
YBR016W	9.70451	8.81817	7.92689	13.4302	14.9693	8.70305	7.63998	8.49859	6.40404	8.13163	5.77365
											
KAP104	8.54501	9.2293	9.55101	9.98884	8.66166	9.03458	8.46523	9.60626	8.77988	9.25886	8.87938
											
POA1	10.3504	7.90895	8.23461	9.58721	7.74274	10.825	8.93198	8.4369	9.67956	9.7061	8.59655
											
CHS3	12.3351	12.034	13.105	9.18848	8.92739	9.11219	9.34155	9.26912	9.5311	3.9104	3.24567
											
