	18607X10	18607X11	18607X12	18607X13	18607X14	18607X15	18607X16	18607X17	18607X18	18607X19	18607X1	18607X20	18607X21	18607X22	18607X23	18607X24	18607X25	18607X26	18607X27	18607X28	18607X29	18607X2	18607X30	18607X3	18607X4	18607X5	18607X6	18607X7	18607X8	18607X9
YKL096W	588.3458576800639	315.8364437886394	408.5243442742359	105.00993529570871	128.26598259563102	94.9880435630514	70.64345891799836	164.33236054866853	137.7775598383092	1459.1393046848334	162.17234685646397	1388.8841555156525	1428.9211237373684	827.114658672097	1298.060912493011	1497.1841932403777	348.4690622896394	374.5481042320005	336.0814711749396	225.97812898455965	323.1030081139284	180.6089595523021	394.91235481922666	1136.9541163912263	438.5618170130946	605.9650781751978	134.73268164980072	480.6594059922343	465.54030879380247	366.37640155804394
YKL096W-A	9571.114505550448	7460.018853616099	8330.784056761846	10047.628303133626	10408.414295230998	10200.807042452443	10275.368959569936	10986.97641322144	10836.711185859233	12521.62101813519	9045.45828771403	11421.321081605549	11839.440704248245	8668.5022273988	12059.474128743686	12114.271930776442	9489.64151721028	9802.987419405445	9347.442355358582	7375.280374739319	7968.096781634879	9736.41466601891	8435.069215933232	11251.657762688343	8103.292516582152	8423.227746882369	6578.4345602340045	8921.546905240153	9263.504568313796	8295.2328083015
YKL098W	53.95740598201258	51.97190793740271	59.28778812672997	51.43060857387185	58.29444947237929	52.27604611605346	45.25804834462698	60.38734806432439	60.845709717896526	63.361168154811004	52.371485745893715	62.467537006955034	65.96391278284949	58.248491302512384	51.559756359775584	54.80189191488892	59.83353264235995	52.46574948321574	61.87953292962626	55.753214214642234	57.386780264655656	51.97861328900652	62.35434600056604	50.81702290988951	60.013822322479825	61.6009724046227	56.543820713697386	52.542065282960294	45.52961023909682	57.27047605086753
YKL099C	139.80908390390704	163.26881227815778	170.37533018978226	126.0892670480884	116.52893551310518	171.85719516827774	180.4392540584998	122.53916664647629	118.67722463218358	146.70477124967186	208.50030517728229	151.5665700802264	141.7422557293466	153.11325537607624	166.4095090104907	172.74772249483823	152.82499288393666	143.33186768350149	154.27736921783347	164.06003333078567	127.16381276100839	188.73621294559467	125.75162633428427	147.1747759683286	138.54490604581838	147.66386012926074	210.39231711310603	124.42906645033298	116.97512447439196	149.90926068435942
YKL100C	67.83679012945254	78.19635355743449	79.35322034265383	77.2268112126018	76.39355159280827	57.57351720783421	47.53562728486223	94.53046829699142	89.58413057241971	80.18166358215893	68.38361502773469	82.28135865602859	97.53713975935607	83.3859169206272	56.818004403679765	62.61363668258601	60.78528554759367	70.20342041044985	69.46120176792263	60.07435180027613	90.77834805972357	63.96858630164255	93.38665327831208	90.79559242615503	90.23087817816672	99.60207234196533	65.62108959081269	71.61176526762166	76.6414428227989	88.64175478323548
YKL101W	27.008781485512706	32.9881550037158	33.57574872137063	38.159769522003394	36.044007079420126	31.299805515645176	25.23121244721207	29.227048161704833	29.693312521600294	36.18804185985772	31.23816755864365	38.36470459183356	37.27527092893854	30.023080375491517	39.33027993432889	39.212491466325346	34.734041499468084	36.17601561892733	37.647360786817906	31.38687938200717	37.96991681132381	30.15361403769828	39.03784089420708	40.50033015086837	33.92251454060259	34.79288149279808	24.479166733843865	26.689753579573562	25.602442981045904	37.60196671537914
YKL103C	20.34221873344005	81.84146461092767	92.88555276262882	75.15098651524845	71.58023366772532	37.59282686193067	15.463169883989687	97.56733625965703	99.7032569584205	91.75530799822734	21.238426140271716	74.9963255786755	89.37087640417852	63.824281092240795	31.132717200232754	30.179357664959007	48.616857288663276	52.15431741348021	49.05222306071711	69.11444004162685	85.48939802255443	21.333784406678852	105.0555654971369	96.88008179362065	92.3329616675509	126.81571251842772	22.46668855000975	31.950180549942285	30.037614103530487	77.76193027676248
YKL104C	144.3079291724175	129.68757091857856	121.84765677376814	121.66296046299944	134.84249442781717	106.71650738502815	120.00449936352999	137.1769021162395	128.35795859731041	139.29256511504784	134.0597058068205	153.4075941820573	146.04318762997065	167.58454819933536	242.1127442739317	289.353330003681	112.80285615801131	121.54980574059066	118.8066247584699	114.87236201330361	126.76965681154265	130.86139744809512	129.564048238823	131.88390972916218	123.56460845301804	137.18534551072523	108.29535077271014	116.14479327246816	117.63360148920823	108.1432265419632
YKL105C	17.5003401144571	16.08416724601958	17.28378435012831	20.611004748568767	22.881385281389324	16.015273181654173	13.695381539833477	22.42636126664761	22.418414278204988	24.01742123275181	18.732459691666822	23.993987713203357	21.91783546182841	20.172032289392234	16.836754292484606	16.30433899455358	19.0170235060552	18.992466188658728	20.12191809689026	21.114069788725086	22.466187316684245	18.202982748066333	24.68567299339821	21.003307076835416	20.682031001717895	25.870889475142807	17.271763939677115	19.848264214876057	18.242179841808415	16.004911655083177
YKL106C-A	0.0	0.4941718901441507	0.35668328848859926	0.2553091434996397	0.09772997523818923	0.3628372114480522	0.11150631591553607	0.304718450418243	0.17255260780222448	0.1684390823787621	0.09980705876729572	0.29246346332262413	0.2591747972180061	0.22686182143076938	0.1412772001388794	0.14878953747100535	0.17354485407144613	0.3585730005066003	0.09213665057427545	0.24022144785000574	0.09074965251742556	0.09698599109675535	0.28301951970547823	0.20886309079914733	0.2694253768331899	0.2632974815671207	0.06465509645017373	0.3661081406963027	0.08338293678285115	0.2039084759862576
YKL106W	60.14242117548915	59.0215349207918	66.24283223711518	67.5444811766404	68.19830603668045	56.43011631154195	48.739237360801155	82.879866096594	84.85028623559646	63.7755748436686	80.64979196918966	73.86975480994623	71.87960092792301	74.15325391171028	58.16338409344565	53.69721895699067	81.67848093046533	80.94367460917775	82.93014639642621	90.4170295854089	91.33740933424826	75.39530142073413	81.79337440607415	69.87173812148677	77.64941732669152	70.07851191174633	76.16738862380181	60.09722037530954	56.10850777196311	65.38013608922066
YKL107W	6.769873233766581	7.117401854022466	8.635805122299477	5.91723205068516	6.79518485548752	5.743907869148276	5.261002690511535	11.917763555787324	9.212456342729503	7.424319956526981	7.435290955147535	9.895177412585094	8.04485528277368	5.633481471770783	5.350044307272665	4.248989811671998	6.141041899944294	8.013745581791806	7.321462703351821	6.959435681560568	7.9999777571569455	5.78010470428985	8.872851888753123	6.612829737214615	7.359471702758945	7.736940537772103	6.984052197084203	7.613943630756162	7.868215376958975	9.367473276012976
YKL108W	19.339720894107035	29.045467605608025	32.21992596210491	30.750124705360243	35.12425490266275	24.82222277276128	23.529574944364292	33.765026211708964	31.755970816102096	35.380980168413934	28.369636626172728	36.774995642012776	32.88055261580867	31.18562330015333	18.377073299315175	22.57997472948655	43.89464570752397	42.496503263165046	39.86109833308432	41.277635071101244	41.09730357494871	32.70751522664015	44.72298035345943	40.551530558672994	41.53641226178344	44.22803442539368	27.660258450089948	22.488478564255313	22.09430681681017	36.05303639866396
YKL109W	47.18854604790635	103.92233146919186	102.29015515240013	169.27546199709386	173.72832758115186	179.7987967443473	95.21463632318284	169.16667613291347	167.42885179503602	85.69338316019521	21.290475138064462	83.2289838034575	85.1309869637512	60.57493566445958	85.34296171654756	49.71544290293949	17.090331250012056	17.260899284590682	15.479897466382095	11.286595010095507	18.27339941847481	23.679096737840474	20.302318607444	48.56244465749222	30.403523533114953	38.934891194321665	37.83642634099453	118.06676221009594	120.20614629714191	103.22519813681868
YKL110C	89.49090494907458	101.11958174181717	89.95660920107153	68.63020097776226	81.51003901633727	86.96566478256975	81.14702725079786	82.53492835223406	77.51282408220645	85.30601980085733	91.81146566162839	92.66729072680937	88.12420407064543	93.52305474636782	105.70032288843674	100.82751778180199	76.53951291927274	80.81264708931211	73.54897214488501	88.47271868928802	80.04771145121313	92.58679227407933	79.04414638404175	68.84692903206701	73.70992054411514	74.4554848888239	97.67206089707736	84.849607000188	83.26546358462117	75.23772137426639
YKL112W	20.61279228524668	36.934407069373826	39.316901654024555	71.4255696622853	68.76443941051058	52.245534805090784	25.029451045840666	66.70794743739371	60.12020443509172	49.33861454677906	24.00359763353462	44.18635491699314	49.33248279046292	39.591168870026436	18.51319976819899	16.378008337120914	55.917598188937205	60.14464461830709	53.749450723346484	54.46487504559214	61.27870286239161	28.109773086209593	66.01548221930159	56.73591808983172	63.246110403942254	67.97755868548462	26.075400398355065	32.1717528636876	29.257682801489423	48.53701423392886
YKL113C	84.68324109576346	125.42624955640409	121.41096784003317	119.80848587641626	117.85102776207617	118.18481883561364	89.935963034924	111.80054914468722	111.92246131074165	115.52456089001926	106.28234599463735	112.17043806703084	113.14402199282407	111.66258737150866	79.76347045036091	77.62685853574935	128.32530848237252	120.33513119135374	122.74680549219859	133.14224921589036	122.84404182236875	105.79456632471981	131.2956026438562	114.9765843740672	117.4163458814805	120.48803147851498	84.6764932381132	95.70993229986651	88.98077906321207	129.2705137090927
YKL114C	68.31755659366512	79.94926010939976	81.08133838976133	82.32190247918665	82.837332279507	80.61566965138708	71.05430241951105	86.77007247448891	80.74447029804094	72.30220088382484	85.5633520471395	72.84825220408631	75.21150978091157	72.23497865382777	61.838784923534334	58.740261680342485	82.15307136117428	78.36753542934693	75.86820864444505	82.97583758034675	91.29533670249766	73.2941517683813	85.98105261640694	78.79462484265872	82.8556406686033	89.8854005972984	85.13554906100818	62.30717874873106	67.34943351388723	71.74779610928222
YKL116C	31.653855204234446	37.88581359482254	37.53675984629226	49.23355559605339	51.71199431300373	48.565991369193476	32.341556459400195	54.87998659730677	52.41468250772021	42.91271113569098	45.300140253639334	43.15849868448957	43.477670431613824	41.43592717276828	33.72244863060774	32.541406680364155	47.88661397090073	48.83847832641539	51.42474412560831	47.140066182260654	46.737993708603774	49.11354150836115	47.8105114485515	47.39908892150566	48.928485630405916	53.86999532825602	38.72182767909981	35.08471710602863	33.20478135106929	41.79907752976771
YKL117W	509.9281456423288	651.7197600712958	671.9507030588812	534.5187617694683	536.1360002980168	481.5047380535748	366.82265867421796	597.2179926761505	600.9913365460101	728.2780592246293	582.9967467885903	705.115655601037	737.8826227528021	691.7338884543681	543.1688710091976	547.1145975001286	658.6456778481854	660.0760902890065	635.2320322860492	723.6690936732895	764.4669862040934	564.9193917051601	783.435159343141	718.659638339076	689.9156951521574	774.8592881630411	568.9264397933406	515.0162834666405	509.2055601811362	643.9066270401682
YKL119C	42.11345421021184	43.781815991945535	41.01448777150441	43.76560868156667	43.45845779628469	42.18398680803157	40.121813855113075	56.50220900014417	54.03350353953603	40.73830558908363	45.73727142593047	37.60100788199472	46.481058051528954	44.0229873972155	41.362464673687974	45.077087166387834	44.62411373841703	44.42686579671226	49.10291772348313	55.31337588949902	65.92254574614455	48.395119777546086	62.926404220754726	51.04690586136958	53.806801939117626	53.178844556882204	49.27133565718973	41.942893641697985	42.59797096103731	40.664775199552984
YKL120W	41.75552337924527	46.853672334292284	47.84014606853337	242.9505852721102	233.79758732528438	224.76347916349613	259.6633640435599	200.1238423121811	219.9641329303826	78.87686404517969	154.7539635892785	95.86860932883332	81.41058343863514	45.991508007142016	45.73849354496221	51.3533139562037	175.07692973629563	195.898515042395	188.45688093868907	67.4021345759141	65.37094500559927	149.1462694334791	60.62145446691482	119.42073565020623	59.50091056500478	59.060916334024746	61.07684095600943	82.54594484761951	79.73232758182695	74.62094400115843
YKL121W	8.241306862684766	12.172307605675327	12.103739212415888	15.96706758638445	18.797101044750306	10.030701521865947	9.992924373903637	18.68450668357754	18.402760062986534	14.6095852825262	12.239794827298109	13.947938824465657	17.92931600018048	12.840507626591425	9.366118063031518	10.409998871643497	11.596286814193302	12.684646866363092	13.085753474621246	12.841299492718436	15.647245327119283	12.147976193606342	16.98317556986202	15.54343738043513	15.814430050945312	18.720475802262843	8.640521742314293	9.5934852732034	9.701238565642202	13.73205168663827
YKL122C	166.54558808440623	172.65990521213732	153.48104478556104	183.9464675032952	197.9650542720409	175.88419003041972	160.32914461830055	219.24781797260704	206.4843136529531	203.13966548907035	231.62186226711597	209.74535561863829	193.20551602738917	187.18014713788943	186.75862282915853	192.15980423193668	249.12473640471327	255.47758923752696	243.59647496450683	222.76738315811923	252.8928607811549	202.36311192954008	249.20047836345654	192.9538041044148	194.74793799702005	191.3461676696752	207.8825034661567	157.10789373139914	160.50687590592628	170.23131344916018
YKL124W	16.28445750158639	17.512867954939754	17.610296748638067	34.94252145421932	35.397219723401534	26.97740595877211	22.108361961481183	42.69594068465741	40.00381027718661	19.919520596501073	14.880516546592384	19.34793892645398	20.90530888952553	13.045352417998602	11.910204467404265	11.091726385101211	16.594769010101892	16.514026584512838	15.75070210133658	17.188841293064755	18.842997469968406	16.428281065735206	21.26378195255558	22.009939631682297	24.60638093482867	24.937345159957673	18.4212463620168	19.647417360679746	19.200944197991994	21.726577172333208
YKL125W	49.319049423823	61.952501612393974	58.07045645049964	50.63475479688213	52.78313626005425	59.31823550710944	66.19308995337647	49.506981575963906	45.07699856020199	55.81626955089638	66.07921918276507	56.08763597895965	57.13870743062659	56.06173875381369	49.68765703785533	51.27107605765988	45.39501109612442	42.76606921793005	45.20433325244854	48.402128600986494	46.67623611074839	67.76052385289242	41.186856203293104	54.138001694778985	51.85204871361098	52.040634711450124	62.21572834234666	49.49500440567323	49.554815305251594	55.61734393086705
YKL126W	97.40871606241993	89.04804066751932	91.62849513186733	89.60305811688524	94.58718498184537	70.59889127837694	55.226926396692974	82.23522356440752	79.35754977598972	106.82288401596266	67.96160301640437	114.09666726149463	111.14809695429977	97.92868625094879	79.46346798337797	72.48530300462477	66.1266786943463	68.48901578535938	69.37728144996319	62.373288213685704	77.16904662315117	74.66560107557576	83.77377783282158	78.36396596193974	76.71848215650107	81.92401055122936	58.882644067104714	103.67443905288064	99.97028976847835	87.82194967060758
YKL127W	92.81223297874645	84.35389583611878	86.71113116739387	78.9849253608339	81.89197042752976	79.67554522396567	43.68423905867473	60.577195728891375	64.3809729951157	115.74171232026367	128.70707328388474	113.3265199423139	110.06398618831614	95.40111511722083	93.83803777711935	91.8884797955128	120.12694589018999	119.99012686070132	121.17905194436848	121.49687569691045	119.28431741717995	121.7520566803911	117.4768838306899	112.50963258783482	118.18679993142752	107.10749792880979	98.00136993445452	104.08508279428342	99.36057893403573	95.97192314617904
YKL128C	100.81696673267484	114.85286833453978	121.83046138014755	109.9752015536534	102.0518119209447	98.82274606244866	99.78163329019507	100.949272569577	102.50583529051035	111.48795708114285	141.83322362379147	118.8322379400314	115.90232937812141	117.30716702230053	109.9659865969885	98.78798679533249	122.95331531602567	129.96943220214234	120.83209852535256	140.34567378525702	135.42873144017142	130.6473141548181	129.63604278065094	125.22115860411841	143.62368328741115	134.70429180421579	152.0400512523863	121.9140108518688	115.8652230451485	124.62583965648975
YKL129C	12.88809983991635	14.132657499991302	14.13752880513756	19.593330100319175	21.462524444159175	13.452501122549899	9.558337403236418	27.305178418436356	27.128170882202113	18.36771644084143	12.984637445574064	19.967264640991047	20.348741895363492	17.410181607769175	11.494069696588584	9.819651893780957	15.205411253189647	16.93251180762331	14.363116814792482	13.515278109859368	21.271979030891366	12.727982142702839	25.602314214669327	18.220655076378716	18.46252009913818	25.299590574636706	11.89375403176184	14.545808573077348	12.745494314393577	15.700221046978792
YKL130C	50.859383789809435	50.08992721780459	55.45076333646291	53.45043525255761	57.12686619805414	51.18977507309653	41.950737508727315	62.8865902874708	66.12462434706674	61.667812786022836	57.25486442646591	64.79048783061076	70.37648415213869	53.60802032464903	49.19770734248036	50.65721101376287	60.16464667829841	63.82750069942068	63.3110413231807	55.0221506742156	72.09259160281366	58.80285090446134	70.83812096157706	58.121859258939196	66.31864142637693	64.94671211988975	60.9116206977225	56.77368152415459	48.999737556510766	47.23308521479993
YKL132C	14.967073087902858	11.493026245066819	13.590057914378118	8.996607913796826	10.675836342686004	10.468285499337554	10.019638958696028	10.804808387746869	8.284579372218706	14.54190744536646	13.452565706706217	13.139965602137899	13.014277317447021	11.991267704197812	13.752662684947822	12.648881989052965	13.68318533946652	13.504115322650359	14.204400296867465	15.09582082600274	14.470248164504738	12.388805767478392	16.642558542681073	12.051897632184133	12.81695006935032	14.303740169261435	11.733360598648195	11.933382014600916	14.985104924689537	12.84380650527725
YKL133C	7.9315859857219	11.087324641638444	11.319476967793113	16.665259074360346	17.88770451035155	15.442293819674083	11.082422940860592	19.040851044086754	18.5930024071998	12.845719912795222	9.82143929359027	14.533722904742637	15.38735476036336	13.245673368289426	8.827946322507904	6.076232308157678	12.295837533147141	13.937618091499903	12.330628342812606	13.474123231799522	21.96817386206403	9.92558759947645	21.514376122292106	15.928588108153058	14.67030730948096	18.05034951204383	12.72467323753419	12.249043643509276	10.666806540572182	12.139604348277599
YKL134C	16.779276293393067	18.470205657897562	18.4700032811571	20.68024023968934	20.808308723114695	15.062425130441229	9.870793657511333	17.498081775580815	17.421202693902462	23.632832942039766	16.284391730695287	24.451226061835968	24.142365395272282	17.71969973489747	13.977495625937296	12.61162920815613	14.910745906107286	17.374950513210756	17.6449970224105	15.566500076472616	22.052378422529998	14.309035590271883	21.73762511201537	19.6974714716131	22.23935505619179	20.81950896728288	15.187628754878965	22.188328792864667	21.27536168077846	19.64313004399281
YKL135C	48.714286045892976	53.31955284368242	50.873392259752954	49.82234398713129	56.51472261636772	46.44608917189462	41.59005734752858	50.053691591483734	48.089298551848984	47.54600614049541	46.63726289592459	52.62219621121829	53.515415386853455	48.91921469863064	47.55117116932476	46.305943875351346	40.391165229854316	43.54637753732979	42.94310954265867	44.67989778694058	51.71998341456826	47.69207897673996	56.1166082357963	44.124012311084385	52.737844729799875	54.209554067811204	51.085868788727595	49.37735923391102	50.30815348767925	45.63274361789233
YKL137W	47.9701476911138	55.0390224494109	48.986520112256265	70.2345356795732	75.75232589140457	61.20879263631294	43.91458909514231	87.52133662351774	85.27023445901115	71.61801390768858	46.317241848280624	66.57757247264686	63.71307218389764	57.85617299087531	45.89353928579259	50.01345944279624	45.927616126636615	46.77250528642027	49.922448229804026	82.55474706113078	86.9597009275453	47.19765722661085	92.8256055223849	58.94187223399666	78.17293589065142	86.74238839063243	77.68693385670706	60.15342908321964	49.990190506491714	64.19315310116525
YKL138C	70.8744002625862	95.12496118255822	90.41808488727608	135.9171081660318	133.42615796601137	135.31187083258135	97.1375273583189	142.71623627183536	145.06432211626253	91.90590691058911	85.30976763622333	94.68504625069957	93.8715805619985	95.98073769984491	68.81451470055798	66.55035831060727	71.12043861472239	78.30167689860112	78.32198442171477	141.57354737742426	131.7593056170723	89.25780357834934	146.63724956892221	117.38634470230559	151.42388267586875	158.25622889973138	129.3020087109234	81.66181106638892	83.57292322109056	97.17271328724853
