	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
RGI2	2.61316	3.02082	3.28235	3.11312	14.3663	7.41938	8.76257	8.78767	5.1846	5.63586	4.94156	4.15051	8.86197	5.17374	8.06652	6.61987
COX3	6.86154	8.20975	7.20283	8.95179	1.12327	0.428182	0.925669	0.809808	12.2843	10.8683	13.0723	15.4446	3.75855	3.29747	4.26767	2.49403
CDC60	5.03904	4.79537	6.24754	5.51817	2.85385	1.70407	3.27101	2.51136	8.21982	9.10104	9.76052	8.65757	8.73113	6.56737	13.6914	3.33077
GCN2	8.87276	4.19876	4.49111	5.00499	5.80708	1.82034	2.91183	2.80475	10.3399	11.4213	9.59957	5.95017	9.39292	5.43014	8.03205	3.9223
HPA3	5.10762	5.43553	5.85005	7.05767	3.25692	1.43166	3.27499	2.92555	7.01193	8.17503	10.1235	13.4581	6.90049	6.1582	10.0223	3.81044
MEF2	3.28204	3.10805	2.99709	2.67616	3.47188	7.35592	7.52656	6.10572	5.50078	4.43851	5.48032	4.50141	4.12043	14.278	3.39662	21.7605
RNR2	5.64431	3.55267	4.90779	5.02198	9.02693	2.72919	4.30264	4.04389	6.66707	11.3106	8.33575	5.19789	8.71372	6.02334	9.62204	4.90015
COG4	7.78286	4.73926	5.70457	6.03812	4.90198	1.92416	2.88999	3.42173	9.63738	16.7175	9.28382	4.26343	7.84011	5.74596	6.03807	3.07101
YLR287C	8.62168	4.59391	5.36198	5.26565	3.72328	2.38237	4.37879	2.8438	9.64108	12.3765	9.8476	7.34331	7.80336	3.19834	9.99391	2.62444
PIM1	1.53227	1.40623	1.62051	1.6697	8.85812	14.8122	13.2681	16.5813	2.41963	2.21743	2.93891	2.6624	2.11403	9.7935	2.29275	15.8129
ATM1	3.68665	6.09149	5.20903	5.34305	1.78254	3.35454	3.20296	3.2435	7.2902	7.37975	8.04157	10.7032	7.82036	8.43468	9.59543	8.82106
YLR422W	5.93049	4.67371	4.36014	6.79188	6.55923	2.80166	3.41006	3.85854	8.80954	9.62883	8.21501	9.01881	7.67318	5.9201	7.93169	4.41713
MSY1	2.05848	2.41763	2.53636	2.8114	8.04272	14.283	12.7382	15.7317	3.01669	3.17492	4.61069	5.30433	2.53352	6.28177	3.46617	10.9924
EXO84	4.83157	3.82578	4.29632	3.89179	7.79338	6.92922	7.26161	5.34767	4.57874	9.28312	8.1613	5.55912	4.35682	8.40427	8.56441	6.91487
YBL036C	4.55814	3.73424	5.61215	5.40347	3.58779	2.33143	3.89233	3.49548	7.16409	8.21067	8.65965	7.5711	9.63103	7.34251	14.2562	4.54969
ELP4	6.93284	5.18689	6.6326	7.67393	4.65452	1.39756	2.47343	2.38504	7.27558	9.25155	9.61574	17.0868	5.61974	3.964	7.94019	1.90964
MXR2	0.829548	0.992331	0.796261	1.25378	6.9211	18.4744	15.31	16.3405	1.60116	1.76484	1.32081	1.64675	1.32578	13.7517	1.32046	16.3506
FMS1	4.0885	3.42925	4.97579	4.96182	4.1476	3.15054	4.94969	4.86935	7.2134	6.30949	8.23159	6.79476	10.3962	7.53766	12.87	6.07437
ILV1	2.19811	2.00697	2.1619	2.04348	6.00628	12.2765	12.2851	10.3425	3.44475	3.24789	3.91492	3.14162	3.54666	12.6041	2.94885	17.8304
MDM36	15.022	1.26637	0.838765	2.05843	12.8728	10.7029	6.7367	4.61094	6.75006	15.3649	6.59574	2.65172	4.05728	6.78153	2.10445	1.58534
PRO1	4.96073	4.83257	5.14949	7.24168	3.4666	2.65407	3.81719	3.8729	8.27237	9.63367	9.07391	9.28364	7.3106	6.26759	10.1287	4.03433
SYF2	0.454532	0.982544	1.3764	3.12575	2.99937	11.45	10.241	11.1767	0.93343	2.32492	2.79465	3.65433	1.12297	18.6187	3.20933	25.5354
SGD1	7.86332	8.33175	4.6805	6.93924	7.64014	1.36096	1.24245	1.50825	10.4596	17.7829	10.8059	6.40582	5.72251	2.56936	4.53911	2.14818
CRZ1	8.78948	5.40708	5.46529	4.88887	7.39533	2.49468	3.2733	2.68725	6.23915	10.5203	7.41393	15.9247	7.57977	3.36727	5.44974	3.10386
RIP1	8.18668	9.44309	8.33735	6.12246	0.702471	0.861507	0.97218	0.57553	15.3947	10.1408	12.6079	14.2671	3.84221	2.36888	3.17101	3.00606
QCR2	5.17614	7.22678	6.54244	5.9755	2.4226	4.44239	4.18832	3.55559	9.96375	8.48155	9.91379	12.3256	3.37788	5.36998	3.35613	7.68162
MCM5	6.94759	5.48438	5.17991	7.60716	9.31041	1.51234	3.14514	2.76868	7.16039	17.3072	10.8021	5.85271	5.98177	3.11221	6.05629	1.77177
LAP2	2.87942	2.34201	3.18083	2.87612	3.89475	5.65058	6.61559	5.95315	4.48007	4.51363	4.91844	4.47632	6.20698	15.1986	7.75312	19.0604
PXA1	4.64279	3.91936	3.58015	4.74805	10.3703	10.4264	8.04799	10.5623	7.972	7.07767	6.34198	6.13873	5.10195	4.36023	3.68095	3.02907
JEM1	5.11671	4.10171	4.04208	4.70086	8.35833	8.17814	6.33901	8.99561	10.612	6.23014	5.90467	6.45879	5.67526	6.817	4.26543	4.20427
RRP6	8.98738	5.53274	4.38967	5.2987	18.1013	1.55944	2.1042	1.29586	6.78472	14.2957	10.664	7.56879	5.1511	2.20351	3.74701	2.3159
PUS5	2.67553	4.10082	3.26088	4.10412	4.01816	6.69717	6.78387	7.3538	5.25148	4.58813	6.18907	6.92348	5.08212	11.355	5.55117	16.0652
RRN5	9.91316	5.20537	5.83633	5.69292	11.5308	1.67094	0.743072	1.53397	6.99473	15.0132	6.61894	14.6157	10.0722	1.45843	2.23634	0.863892
SFI1	1.96902	2.84083	4.19123	13.0064	2.48019	2.01524	2.4367	6.83408	1.56016	16.3913	10.1459	7.55627	3.30179	5.4248	17.5473	2.29879
ACO1	0.831202	0.873089	1.03307	1.0373	12.8441	19.745	16.5123	21.956	1.50645	1.20491	1.66705	1.73423	1.15756	6.01305	1.21734	10.6674
YGR021W	1.6968	1.23895	1.64073	1.70067	7.91282	14.6771	14.0385	13.1384	2.30736	2.13371	3.25087	2.46312	1.90348	10.9027	2.08709	18.9077
SFK1	4.52098	4.9716	5.28964	5.61543	5.11235	5.1177	4.55586	6.85426	6.49236	7.54557	9.96268	8.95274	6.34964	7.41951	7.70492	3.53477
QCR6	5.82291	8.73743	7.5753	7.68138	1.50094	2.30009	2.48677	2.0309	10.2794	10.8258	11.5024	15.5056	3.33825	2.85248	3.77776	3.7827
MOD5	4.0729	4.03202	4.3752	4.82909	3.47959	5.31799	5.37305	5.05057	5.94282	6.49427	7.41041	8.03083	5.28722	10.4487	5.60928	14.2461
SVF1	5.59492	4.43712	5.69531	4.94401	3.72706	2.83649	4.07523	3.71601	8.82813	8.17856	8.3118	7.97389	9.97153	6.06255	12.1519	3.49543
SSQ1	1.29324	1.2259	1.24143	1.3434	7.5733	13.4418	12.8971	14.2693	2.15508	1.80825	2.15433	2.09121	2.17095	12.4402	1.96721	21.9273
EXG1	7.81542	4.63424	5.26263	6.10304	6.29329	4.7462	4.24911	2.95679	17.6204	6.70288	9.00117	4.93081	8.84831	3.28575	5.0248	2.52514
RPB11	7.29565	6.67081	6.35772	6.20348	7.4409	1.47603	2.38386	1.7214	6.89936	14.1689	7.61912	13.9237	8.22455	2.88069	5.10912	1.6247
IDP1	2.01317	2.20209	2.42465	2.22609	7.90239	14.6181	13.1402	13.2274	3.11727	2.83644	3.93712	4.31785	2.7045	9.60433	3.00804	12.7203
GOR1	6.02438	4.40161	5.99597	4.6175	3.39299	2.2079	3.83208	1.95018	8.82724	8.68151	9.2616	6.94479	10.6037	7.3586	11.7951	4.10491
COB	5.44974	9.1264	7.19528	9.02793	0.871231	0.826891	0.93239	1.07437	10.7349	10.6968	11.6729	16.2371	3.79732	4.05027	4.79956	3.50694
SNF1	6.80126	5.30861	6.1192	6.38387	3.92168	1.87395	3.48413	3.00538	7.66671	14.5834	10.5903	6.57138	6.43664	5.07134	8.83183	3.35026
YJL045W	4.92069	7.38075	6.63337	5.59467	1.04138	1.9789	2.01136	1.42561	9.60774	8.16305	9.83051	11.6589	5.31586	6.90807	6.61887	10.9102
TBF1	9.49213	7.11266	5.90555	5.92624	7.30671	0.767718	0.631076	0.792325	8.51236	14.9149	7.5716	14.5094	9.03851	2.13993	4.04188	1.33698
SRB4	5.9919	5.63114	5.87103	7.02336	8.42615	2.04447	2.47458	2.71595	6.79821	13.8827	11.2083	7.3469	5.45501	4.42922	8.68899	2.01211
FZF1	6.32178	9.07581	6.25531	8.00361	1.81515	0.886519	1.0071	1.00185	9.82962	11.5825	8.89969	17.1373	7.34536	2.6457	6.18921	2.00345
YJL133C-A	1.35271	1.41591	1.75451	0.612311	14.2797	17.893	22.4921	6.47853	1.91645	1.20431	3.63399	1.4556	4.68049	7.12379	2.50208	11.2045
PUT2	1.19642	0.621047	1.05472	1.39916	7.88799	16.1383	14.246	16.1335	1.81411	1.48704	1.80253	1.72107	2.06493	11.44	2.08736	18.9058
RAD16	8.84919	6.39463	6.07207	6.11674	7.33398	1.01553	0.834001	1.06109	6.30059	14.8704	6.70963	15.9277	9.83123	2.77058	4.76838	1.14423
YDR026C	7.82018	6.44191	5.79515	6.60058	7.06844	0.599741	0.678049	1.00354	8.78378	12.8329	8.96312	11.9758	10.9687	3.3854	5.62468	1.45806
HIS6	5.56757	5.44154	6.14005	7.36617	2.92953	2.66802	3.64623	2.34162	7.4436	12.2303	11.0675	8.38081	7.65063	5.57167	8.21713	3.33765
QRI7	1.4376	1.74576	2.08904	1.80948	5.98984	12.3604	11.9322	12.5572	2.27301	2.22772	3.78054	3.01537	2.09474	12.8829	2.38106	21.4232
DPB4	10.6229	5.84539	5.43682	5.07362	7.70118	1.71033	1.69981	1.64874	8.64496	13.6271	6.64843	14.1136	9.60585	2.44638	3.69456	1.48021
RPL7B	4.85807	5.48373	6.4974	5.54946	5.57888	1.55217	2.87702	2.06041	11.36	7.56226	8.2096	8.55999	13.1938	4.93659	8.86626	2.85435
RIX1	6.5633	5.51436	4.89284	5.65845	15.7377	2.73533	2.50242	2.89344	8.3813	9.65465	7.20415	10.8336	7.26125	2.63026	5.39208	2.14484
CYT1	5.94501	8.23329	7.50647	6.86828	1.75021	2.84801	2.80094	2.10142	11.321	9.29832	11.062	13.7769	4.28106	3.42338	3.88246	4.90128
FSH3	6.59598	4.16924	5.31693	5.19749	5.17276	4.21815	4.77492	5.66665	8.28893	10.3744	8.88161	6.31901	7.48765	5.78723	7.96581	3.7832
BEM4	7.90089	6.43468	5.61492	6.80501	3.24828	2.73937	3.26023	2.74263	8.11413	17.8963	10.8885	5.58094	6.01036	3.88844	6.28702	2.58827
YLR281C	2.59938	3.20902	3.84398	3.33709	5.56348	11.6445	10.7673	10.172	3.75827	4.1221	6.70053	6.03397	2.8632	7.73015	4.77467	12.8804
PCD1	2.99291	5.05713	5.27101	3.74579	2.47383	4.70522	4.67429	3.49839	5.9209	6.28477	7.70167	7.17544	6.04294	10.9921	5.40724	18.0564
PEX11	6.52581	4.72212	4.21364	4.54805	9.06548	7.6538	5.99493	5.29603	11.5823	6.92789	7.1725	6.03229	8.33518	5.18975	3.54993	3.19029
SLA2	7.68047	4.41954	5.17313	4.09402	7.29367	3.87646	6.94795	4.24607	8.43966	12.358	9.04866	4.01212	6.36722	6.24613	5.20133	4.59556
AIM19	3.7985	5.85717	5.85261	5.67039	2.08647	4.05877	3.84778	3.35706	7.23944	7.3536	9.14427	9.81551	5.96571	7.28928	8.44335	10.2201
NHP6A	6.50174	7.86301	7.44437	6.81184	4.05279	1.39073	1.28553	1.19458	6.9488	12.6923	9.23242	16.457	8.54578	2.28877	5.19294	2.09735
PNC1	5.30458	4.77268	5.37591	4.57259	6.51144	3.91309	4.81591	3.64574	8.1836	7.35304	8.17994	7.99218	10.3332	6.17014	9.1166	3.75937
NCB2	8.66851	6.64452	6.62905	6.40381	7.89516	0.9591	1.2249	1.18793	6.68172	14.5959	7.35227	16.2311	7.86143	1.79853	4.66144	1.20461
FMT1	3.248	3.90657	3.89358	3.68531	5.46811	10.4799	9.61098	9.18284	4.27938	4.79724	6.84165	7.39506	4.71076	7.53009	5.389	9.58152
YBL055C	3.35655	3.69664	3.86254	3.365	3.09854	2.93686	4.00697	3.43758	5.08407	5.2865	6.21232	6.01236	6.26198	15.5204	8.3512	19.5105
DLD2	1.16858	0.610003	1.05344	1.04512	8.42208	17.5705	16.9284	15.096	1.68995	1.33932	1.61792	1.48185	1.73429	11.1571	1.58929	17.4961
HNT2	3.3807	3.70488	3.39378	4.3648	3.37056	7.79325	6.18734	5.79568	4.99634	6.62149	6.2754	5.57145	3.99093	13.0134	4.35753	17.1825
GYP6	7.29306	7.10834	4.84665	8.41901	4.77338	1.49043	2.09505	1.60452	8.51851	18.4121	11.2977	5.49934	6.88906	4.2873	5.70637	1.75922
IES5	12.9596	4.57634	4.54212	3.25692	7.7	2.13503	2.02092	1.32444	19.8629	10.181	3.62548	6.32927	16.6404	1.45221	2.08583	1.30749
HRI1	4.61906	3.97658	5.96665	4.96009	3.18932	2.21295	3.9883	3.63652	6.15842	7.35704	9.55662	7.71306	8.01049	8.25495	16.6323	3.7677
ODC2	5.75192	9.81849	9.24582	9.36363	0.802507	0.828215	0.959775	1.10695	11.7988	11.5866	13.4716	16.943	1.66521	1.97411	2.74287	1.94052
SNT1	8.98525	5.15317	4.94011	3.941	11.5947	2.08482	3.03759	1.31919	8.68315	10.8006	7.11984	9.60095	12.2044	2.84341	5.02477	2.66697
PLB1	4.81748	6.24398	6.22721	7.46322	2.37361	2.2799	2.3367	2.21828	7.8171	7.66882	13.6278	9.80887	7.69052	4.86819	11.7663	2.79199
BUR6	7.37243	7.34269	7.23859	6.64012	3.56595	1.9268	2.22475	2.05233	6.57466	14.3384	7.78707	16.2381	7.27008	2.89074	4.2756	2.26165
YDR333C	7.13249	5.30135	6.13489	7.06511	4.53334	2.27973	3.20066	2.71314	7.56316	12.8549	10.6598	9.20217	6.79532	3.90664	6.79812	3.85912
FMP16	0.765179	1.06149	0.913614	1.10203	5.90627	12.1132	10.8345	12.6057	1.15414	1.47721	1.69306	1.70574	2.15634	17.7292	1.99735	26.7851
NAB3	6.76856	5.2823	6.67339	7.54767	9.24343	2.05034	1.52854	2.10054	5.91806	10.8947	12.0717	12.2972	4.70847	2.75706	7.71713	2.44083
MIG1	10.2633	6.33547	6.91732	5.00385	3.95897	1.52996	2.82582	1.31528	8.08406	13.8357	7.1817	15.564	9.75536	1.84587	3.75318	1.83012
SER33	5.60619	5.1314	5.65358	5.5606	3.44607	2.43239	4.04315	3.20751	8.28789	9.89177	8.75042	7.44635	8.51637	7.33954	10.5417	4.14502
44105	3.19079	3.86284	3.57338	3.60363	5.32167	9.4249	9.31743	9.64348	4.0384	4.2664	6.58485	7.39358	2.97979	8.98352	4.36991	13.4454
YKL187C	4.25394	4.35207	7.17092	4.69522	3.0519	1.5822	3.38552	3.65504	7.29039	9.09248	8.42314	7.23004	12.4213	5.83637	12.5021	5.05737
SNF8	6.48086	6.40193	6.07151	6.84632	2.91734	1.67838	3.70621	2.69162	7.16968	16.263	11.4811	5.4527	6.603	5.18386	8.52676	2.52576
IRC20	7.29885	6.69492	5.7204	6.02642	7.18312	2.7471	2.956	3.36626	7.15286	14.9302	6.8332	11.3464	7.00554	3.99217	4.63239	2.11412
BNA5	5.9261	4.67991	6.67221	4.97993	3.61933	2.22773	4.25863	2.23975	8.61377	8.78838	9.65123	7.73899	9.65555	6.2456	10.8933	3.80956
PGI1	4.67505	4.08407	5.6758	4.42669	3.6294	2.44925	4.45196	3.50775	6.74604	7.27338	8.21876	7.22021	10.0104	8.22895	14.6178	4.78445
UBA1	5.8162	4.37798	5.44755	5.24828	3.71315	2.2356	4.03709	3.06874	8.13027	8.5645	8.42336	7.49844	9.61511	6.98716	12.917	3.91957
FPR1	5.27076	3.47322	5.15606	4.50854	4.63072	4.33545	5.41631	5.16351	6.62432	9.12101	8.23364	4.74458	7.58784	8.61093	11.1028	6.02032
YMR242W-A	3.30255	6.13912	5.78872	5.51737	2.35797	4.08633	3.75525	4.57659	6.65184	6.87764	8.36455	10.4337	5.7245	7.86083	7.51669	11.0464
MIS1	2.41165	2.98812	3.26963	2.9006	6.53555	12.1479	11.3151	11.0693	4.69791	3.42195	4.80908	5.08392	3.98218	8.80023	4.6678	11.899
TFC4	9.30429	6.16951	4.93817	5.65032	8.36915	2.1933	2.8488	1.38985	7.76506	11.2236	9.34385	12.2414	8.94278	3.69458	3.89759	2.02776
LEU5	4.629	6.79867	7.06428	6.65793	2.12722	3.37789	3.31452	3.50385	8.35658	8.52211	10.3746	11.8479	4.79428	5.49263	7.03487	6.10366
INH1	2.58805	3.9606	4.05562	3.74479	2.07957	5.25806	4.87905	4.75382	4.08486	5.69152	6.1318	6.38208	4.86609	14.478	6.59976	20.4464
NIT3	2.86517	2.43371	3.36815	2.54931	3.80902	6.319	7.08037	5.12229	4.57045	4.41112	4.43589	4.00508	5.82097	16.2226	6.99923	19.9877
UMP1	5.44265	6.28272	7.04091	10.5084	0.74395	0.597071	1.03009	0.612165	12.0203	8.91174	10.6176	13.9157	4.58962	3.54866	8.78869	5.34972
INO4	11.1645	4.63136	6.92891	4.97915	12.6114	2.30524	2.31826	1.02587	6.58656	12.3722	7.85275	16.1926	8.32858	0	2.69439	0.00833439
RPB8	7.33308	5.14814	5.76264	5.88623	9.15221	1.79893	2.95586	3.16222	6.73158	11.6099	7.27208	11.8107	8.49526	3.28176	6.8521	2.74728
YDR109C	6.8082	3.94882	4.72977	7.40386	3.86112	1.45167	4.51508	3.63624	7.43289	12.9146	8.31381	6.83139	8.04861	5.0197	11.1012	3.98311
ATP14	3.39339	6.42272	7.14711	7.38351	1.21127	2.40646	2.10966	2.15057	7.35995	8.46693	11.4108	10.5056	5.17024	5.94132	11.5048	7.41568
NUC1	4.46645	6.835	5.98224	4.90373	2.57878	4.0178	4.00027	3.84838	8.26075	7.4239	8.51101	10.1454	6.88004	6.46111	7.53982	8.14531
WRS1	5.26803	5.52329	6.10864	6.3081	3.40404	1.98724	3.53348	2.63764	7.5658	11.531	7.29333	9.5239	11.4912	5.0243	9.73144	3.0686
RTN2	5.20006	2.76144	2.64466	2.67109	11.0179	9.06978	9.0296	6.76624	5.68676	5.88385	5.10996	3.85597	7.03247	10.7934	6.51269	5.96417
GIS1	7.81243	5.89847	6.13178	6.22864	5.77372	1.60707	1.72003	2.16122	7.7925	13.0836	7.96941	11.454	10.5546	2.86709	6.42324	2.52206
RIB2	3.93014	5.43939	6.10762	6.23547	2.58196	3.43313	2.95915	3.361	7.02934	7.17894	8.88468	10.4425	7.27854	7.79125	9.96001	7.38687
SEF1	7.82819	6.42755	6.95127	9.09026	2.543	1.04499	1.07751	1.24655	8.25238	15.149	14.5073	8.87234	4.87984	3.27961	5.94729	2.90289
PGM2	4.14761	3.42367	4.63567	3.78304	4.04397	2.64891	4.52715	3.59701	6.04113	6.10376	6.76905	5.74762	12.8094	9.25832	16.551	5.91264
SAS3	11.5388	5.96562	4.61577	4.09403	14.8998	1.50247	1.47456	1.15235	11.6008	15.1961	5.66732	7.96238	10.6471	1.44547	1.91632	0.32116
EXO5	2.48049	3.38947	3.514	2.94171	3.53222	7.99923	7.12828	7.76606	3.28011	4.21034	5.87813	5.56399	4.30377	13.2824	5.73587	18.9939
LSB5	6.77423	4.74853	5.5661	6.71797	5.62652	2.23279	5.05354	4.40921	7.84855	11.4	9.76119	7.51656	7.64994	4.37012	7.02504	3.29973
MAE1	1.00437	1.06257	1.15992	1.11295	12.4494	20.868	19.6711	16.2378	1.52504	1.18793	1.91571	2.02856	2.01699	5.85799	2.05215	9.84951
HIS4	4.52754	4.00675	4.12652	4.01284	5.93951	3.57405	7.74387	5.53643	6.37354	6.61403	6.85773	5.7184	10.5203	7.64468	12.6742	4.12959
AGE2	4.45027	8.7248	8.11107	7.36044	2.25388	2.48383	2.68621	1.98424	5.55217	8.79393	13.4467	16.0775	4.06218	4.29519	5.87628	3.84132
APA1	5.08294	4.35546	5.9236	5.2278	3.27323	1.89931	3.52587	2.62183	7.91566	8.24818	8.12905	7.23657	10.776	7.09805	15.0389	3.64755
YLR455W	9.95547	6.20709	6.54359	5.00184	10.2141	1.2957	1.26261	1.47145	8.34963	13.4566	6.77697	13.8215	8.71902	1.92625	3.61091	1.38724
THI6	5.365	4.71866	7.43114	4.78826	3.87788	1.92691	2.62019	2.94599	6.3035	8.05021	9.43785	10.3331	8.55916	7.43185	11.2399	4.97034
ENO2	5.59309	3.97561	5.47756	4.02448	5.31871	3.45869	5.64362	3.3965	8.38941	7.0396	7.61236	6.13474	11.0381	6.62424	12.346	3.92735
TPK1	5.90563	4.71722	4.72206	5.30401	5.69984	4.99117	6.27243	5.82604	6.25505	11.789	8.62285	4.86762	6.79613	5.85855	8.10993	4.26247
MTF1	3.23202	4.34811	4.26605	4.37677	5.40126	8.53348	8.20805	9.55639	3.7208	5.73198	7.04849	8.26195	3.80337	7.13221	6.18834	10.1907
YMR31	4.49751	3.70949	3.66185	3.35761	2.84301	7.2798	5.31519	4.06691	6.19111	5.40482	5.88911	5.75538	7.78197	12.9191	4.29236	17.0348
CEM1	1.94319	1.93173	2.21432	2.22162	8.11385	14.5371	14.1065	13.7227	2.78566	2.7409	3.46003	3.69667	1.87905	9.33206	2.02344	15.2912
SAM2	7.00437	5.0801	6.36965	6.28479	3.45616	1.91116	3.67354	2.27251	8.30252	11.3691	10.9242	7.152	8.1039	5.5355	9.60533	2.95516
HEM15	3.64069	5.85248	5.12262	5.32398	3.33972	5.65637	5.2918	5.17389	7.60232	6.4865	7.13257	9.20103	7.24707	7.24896	6.63424	9.04574
RPO26	7.94831	6.98316	6.67348	4.38726	7.40866	3.4038	2.71649	1.21711	11.3248	10.8965	7.60524	9.82765	7.40478	3.56767	4.56968	4.06542
CPD1	7.4906	5.93655	6.37299	5.54064	3.61027	1.8538	2.72004	1.61913	7.76472	6.91748	9.34281	14.6005	7.72993	4.71711	9.9327	3.85069
ARP3	7.74826	3.18645	3.99702	4.35391	11.2907	4.0604	5.21317	4.56841	7.00544	7.71754	7.80536	6.84621	8.38922	6.15322	8.01341	3.65133
POF1	5.39131	5.35228	6.41673	6.35669	3.17876	3.96171	5.17652	4.31213	6.96913	12.3923	10.641	5.79161	4.01456	7.01495	5.35683	7.67354
YAF9	9.80999	6.01571	5.63224	4.61612	12.8787	1.64885	1.63838	3.05432	6.94204	13.8198	7.61353	11.281	7.22567	3.45477	3.26496	1.1039
YJL068C	5.00606	3.93845	5.63264	4.46785	3.87547	2.81064	4.63173	3.39573	7.17709	6.7812	8.3167	6.66995	10.5488	7.89728	13.5898	5.26056
OM14	4.27275	6.35012	6.00551	5.40724	2.79839	4.27091	4.10178	4.50444	7.82004	7.23958	8.36531	10.0349	6.57896	6.35873	7.29068	8.60064
POB3	7.50651	4.87603	5.79435	4.53629	15.6165	1.554	2.19448	1.83681	8.21537	9.12415	8.36121	8.75825	9.8965	2.95515	6.40065	2.37373
YPC1	4.15517	5.82021	6.66509	7.09902	4.59732	4.19109	3.55711	4.37732	10.0159	9.08356	8.18068	8.7309	8.73353	4.7806	7.72049	2.29206
ATP20	5.71136	7.46207	6.33523	7.85479	0.691884	0.870344	0.861902	0.746221	9.37226	9.3384	9.72645	12.9951	6.77263	6.32789	8.65017	6.28334
BCP1	6.21155	5.12701	5.98338	7.49062	3.52292	2.00739	2.30475	2.72761	8.31801	11.4574	10.0015	7.78634	8.31933	5.42059	10.2867	3.03497
UME6	5.47128	8.40525	7.50439	8.41769	1.80195	0.991762	0.889549	0.714539	8.78374	10.3047	10.086	15.9283	4.60157	4.41966	6.61536	5.06423
IMA3	6.15873	4.97901	6.85795	6.70432	3.64984	2.52109	4.46684	2.9413	8.20189	8.89834	10.567	9.67355	6.64789	5.12922	9.50678	3.09627
PHO2	9.09678	6.71486	6.05786	7.25957	3.2479	0.729108	0.867402	0.661266	10.9369	12.9854	6.93108	13.1739	11.9789	2.3668	5.30244	1.68982
CNS1	5.49201	6.36921	6.74078	7.00291	3.22853	1.80644	3.17029	1.66687	7.33021	10.1827	9.92968	11.2555	8.89887	4.94286	8.83352	3.14961
PDC1	5.57918	3.95725	5.19087	4.66845	4.02754	2.49547	4.40463	2.92222	8.44783	7.7889	7.01622	6.05995	11.9618	7.73818	13.3311	4.41047
TBS1	12.9523	5.65903	2.75341	6.02376	14.884	0.575807	1.09327	1.04978	9.73959	15.2062	10.738	5.69838	6.86674	1.6775	3.59142	1.49085
DFR1	2.89137	1.88119	2.74993	2.26369	5.52021	11.7622	11.1691	11.3782	4.06851	3.54847	3.64573	3.51786	3.61278	12.4004	4.26806	15.3222
CIT2	1.0416	0.378847	0.691354	0.534783	20.3669	21.0594	14.9938	21.2507	1.39236	0.485758	1.17835	0.934343	5.09381	4.85947	2.68457	3.05397
KNS1	5.65835	3.56142	4.22451	3.92459	4.99511	4.65153	4.13072	4.09256	6.58164	6.08073	6.97239	6.52991	5.23982	12.4276	4.34441	16.5847
YER077C	2.73854	3.45194	3.16646	3.70868	5.52065	11.6317	10.1126	10.9926	4.54792	3.98502	5.27928	5.86708	3.93565	9.062	4.52641	11.4734
TFS1	4.28083	3.28644	4.82135	3.77259	4.74726	3.98992	5.80128	4.54485	6.52123	6.0801	6.37119	5.36745	11.8406	8.97348	14.2944	5.30703
SIN4	9.41856	5.0198	3.94618	5.05739	15.6718	2.38586	1.69028	2.65016	9.10259	10.3012	7.98312	7.91556	7.19188	3.47563	5.6926	2.49745
MSH2	10.684	6.26661	5.22632	5.16512	11.6506	1.24392	1.12804	1.27567	10.3181	13.507	8.84308	8.50028	8.5932	2.25178	4.15548	1.1908
ICP55	1.56803	0.908426	1.23003	1.18766	7.48389	14.8217	13.6047	14.8934	2.69669	1.4054	1.75073	1.51458	4.16915	11.7794	2.00012	18.9861
MET12	5.83874	5.53649	6.02775	6.1538	2.95227	3.00354	3.94771	3.00596	7.74979	10.7355	9.43181	7.5355	7.2508	6.40591	9.00955	5.41493
CBS1	3.13857	3.64323	3.92885	3.20787	6.06965	10.6991	10.0442	8.86204	4.98906	3.82326	5.84499	6.26416	5.06728	7.59347	4.47102	12.3532
SNM1	0.821176	0.775049	2.31661	5.2907	5.66563	17.3297	12.0005	11.2581	1.83978	3.7677	4.95422	3.26879	2.50212	12.0905	2.47335	13.646
YEL047C	4.31928	4.04151	5.36037	4.29917	4.30849	3.47554	5.49064	3.86956	6.28374	6.38514	7.93799	6.46647	9.79676	8.17479	14.6771	5.1134
YNL035C	6.00366	4.62464	7.03356	5.35389	4.06788	2.17474	3.5287	2.95858	7.14204	8.4616	9.26702	9.68594	8.70934	5.78872	11.8123	3.38735
ELP6	7.9554	5.6808	6.05702	7.63872	5.47364	1.47752	2.69868	2.75912	7.26779	10.1399	8.88096	14.7424	6.32634	3.52843	6.50013	2.87313
CCM1	2.58352	2.84645	2.89167	3.6325	5.82107	12.0824	10.8724	11.3775	3.76469	3.90139	4.79434	5.47314	3.12885	9.731	3.94182	13.1573
SSA2	5.81542	3.91505	5.39963	4.23613	5.51167	2.21188	4.33383	2.9491	7.36646	7.29079	7.67123	6.7186	10.514	7.75157	14.3206	3.99405
