	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
PEX12	8.36132	6.94758	6.31758	7.07708	8.88558	8.0272	6.11152	8.50847	7.14703	5.08828	5.02914	4.675	5.31055	4.97217	3.79491	3.74659
SIS2	3.85317	5.28923	5.83478	5.15709	7.15616	13.538	12.1184	10.8943	3.3647	3.69493	4.06102	4.26541	3.2647	6.59629	3.2454	7.66649
GLY1	9.30773	8.05299	9.49017	9.42539	5.62432	3.04248	5.18155	3.84534	6.39641	8.61356	6.91728	5.78313	5.81621	4.36385	6.00197	2.13761
PEX4	9.84235	7.33786	6.25902	5.83771	10.9705	8.56779	5.6524	6.40915	7.40027	5.60328	5.43108	3.92782	5.7986	4.728	3.91903	2.31513
TUS1	7.21546	6.08956	6.22006	6.63757	7.72814	8.82661	7.13119	9.93129	3.54039	5.62774	6.3692	4.44097	4.6208	6.7907	4.58532	4.24502
UGA1	5.71742	8.16532	7.60668	13.1984	3.68942	2.25085	4.03945	2.92236	6.10513	7.20729	6.04903	7.09976	8.50595	5.61183	8.6279	3.20319
RPL8A	7.81611	7.77586	9.1161	8.63316	6.82242	2.81604	3.72542	3.70882	7.67879	6.75505	5.53436	5.46173	8.79483	4.49679	8.40028	2.46424
RAD23	8.63347	7.68205	9.03495	7.92742	6.66406	3.57325	5.74291	3.72506	4.89987	6.17093	7.17357	7.12384	6.77586	5.05169	6.8042	3.01688
PPH22	7.09701	6.01942	7.2712	7.24404	6.19001	4.89686	7.50549	6.34158	4.86751	6.55262	5.38347	4.25973	6.29008	6.90974	7.81341	5.35783
MOT3	13.5991	10.4943	8.43244	8.5023	10.425	2.24995	2.08696	2.99725	7.64008	8.00926	6.95493	8.66506	3.97144	1.67107	2.97987	1.32094
RPL34A	8.39766	7.96811	9.92684	8.14287	6.76239	2.53803	3.61843	3.02283	8.39395	6.85671	5.78245	5.20984	10.0967	3.85879	7.3867	2.03773
MAK5	13.4841	5.88823	4.41157	4.61171	22.1664	3.71071	3.03814	3.0137	9.30611	4.54951	4.03589	3.74138	10.078	2.71148	3.53982	1.71332
RAD10	11.8061	8.80084	8.43148	8.50456	13.0183	2.20581	1.86365	1.62002	7.35085	6.91334	6.14881	8.17613	5.57235	1.55063	5.66949	2.36758
KRR1	11.4686	5.73864	4.54863	3.58052	18.0441	7.96741	7.36159	6.68156	7.41688	3.92199	4.42325	3.52842	5.64085	3.32817	2.70757	3.6418
GCS1	9.41654	6.58424	7.90973	7.04337	6.2742	4.09254	5.79007	5.171	6.35116	6.4249	5.70484	5.07978	6.3407	5.66942	8.59988	3.54761
