YAR009C	185
YAR010C	0
YAR014C	1438
YAR015W	2330
YAR018C	604
YAR019C	394
YAR019W-A	18
YAR020C	55
YAR023C	91
YAR027W	751
YAR028W	405
YAR029W	39
YAR030C	20
YAR031W	265
YAR033W	354
YAR035C-A	0
YAR035W	116
YAR042W	1203
YAR047C	15
YAR050W	167
YAR053W	19
YAR060C	0
YAR061W	0
YAR064W	14
YAR066W	9
YAR068W	7
YAR069C	0
YAR070C	0
YAR071W	93
YAR073W	10
YAR075W	2
YBL001C	1528
YBL002W	7685
YBL003C	7236
YBL004W	1249
YBL005W	1526
YBL005W-A	0
YBL005W-B	724
YBL006C	1330
YBL006W-A	0
YBL007C	2664
YBL008W	597
YBL008W-A	1
YBL009W	895
YBL010C	437
YBL011W	1853
YBL012C	92
YBL013W	77
YBL014C	729
YBL015W	825
YBL016W	1399
YBL017C	1956
YBL018C	533
YBL019W	329
YBL020W	986
YBL021C	383
YBL022C	2446
YBL023C	741
YBL024W	2239
YBL025W	314
YBL026W	974
YBL027W	21851
YBL028C	1162
YBL029C-A	351
YBL029W	310
YBL030C	4679
YBL031W	460
YBL032W	2819
YBL033C	1123
YBL034C	490
YBL035C	675
YBL036C	1297
YBL037W	692
YBL038W	978
YBL039C	3232
YBL039C-A	0
YBL039W-B	198
YBL040C	1911
YBL041W	2987
YBL042C	1571
YBL043W	86
YBL044W	12
YBL045C	2108
YBL046W	674
YBL047C	2916
YBL048W	49
YBL049W	148
YBL050W	1529
YBL051C	1977
YBL052C	810
YBL053W	35
YBL054W	1179
YBL055C	649
YBL056W	2897
YBL057C	964
YBL058W	2935
YBL059C-A	489
YBL059W	219
YBL060W	497
YBL061C	1060
YBL062W	48
YBL063W	521
YBL064C	1000
YBL065W	6
YBL066C	482
YBL067C	946
YBL068W	1038
YBL068W-A	0
YBL069W	751
YBL070C	67
YBL071C	136
YBL071C-B	3
YBL071W-A	287
YBL072C	12371
YBL073W	9
YBL074C	124
YBL075C	546
YBL076C	6257
YBL077W	251
YBL078C	263
YBL079W	1392
YBL080C	475
YBL081W	1184
YBL082C	943
YBL083C	45
YBL084C	699
YBL085W	1729
YBL086C	606
YBL087C	8750
YBL088C	665
YBL089W	475
YBL090W	693
YBL091C	3696
YBL091C-A	482
YBL092W	20451
YBL093C	1543
YBL094C	44
YBL095W	201
YBL096C	13
YBL097W	172
YBL098W	359
YBL099W	4569
YBL100C	536
YBL100W-A	0
YBL100W-B	190
YBL100W-C	10
YBL101C	581
YBL102W	1561
YBL103C	897
YBL104C	646
YBL105C	1160
YBL106C	491
YBL107C	711
YBL107W-A	0
YBL108C-A	0
YBL108W	1
YBL109W	4
YBL111C	4
YBL112C	0
YBL113C	556
YBL113W-A	0
YBR001C	547
YBR002C	935
YBR003W	1125
YBR004C	488
YBR005W	396
YBR006W	591
YBR007C	599
YBR008C	673
YBR009C	9768
YBR010W	7616
YBR011C	16004
YBR012C	135
YBR012W-A	0
YBR012W-B	56
YBR013C	264
YBR014C	1304
YBR015C	2547
YBR016W	1234
YBR017C	1716
YBR018C	73
YBR019C	182
YBR020W	200
YBR021W	626
YBR022W	461
YBR023C	1666
YBR024W	649
YBR025C	9515
